,county.x,cases,deaths,log(deaths),log(cases),CFR,death_100k,cases_100k,fips,state.x,cases.x,deaths.x,Poor.or.fair.health.raw.value,Adult.smoking.raw.value,Adult.obesity.raw.value,Physical.inactivity.raw.value,Excessive.drinking.raw.value,Sexually.transmitted.infections.raw.value,Uninsured.raw.value,Diabetes.monitoring.raw.value,High.school.graduation.raw.value,Some.college.raw.value,Unemployment.raw.value,Children.in.poverty.raw.value,Income.inequality.raw.value,Air.pollution...particulate.matter.raw.value,Severe.housing.problems.raw.value,HIV.prevalence.raw.value,Food.insecurity.raw.value,Limited.access.to.healthy.foods.raw.value,Uninsured.adults.raw.value,Median.household.income.raw.value,Population.raw.value,X..below.18.years.of.age.raw.value,X..65.and.older.raw.value,X..Non.Hispanic.African.American.raw.value,X..American.Indian.and.Alaskan.Native.raw.value,X..Asian.raw.value,X..Native.Hawaiian.Other.Pacific.Islander.raw.value,X..Hispanic.raw.value,X..Non.Hispanic.white.raw.value,Poverty.raw.value,Communicable.disease.raw.value,Drug.overdose.deaths.raw.value,Violent.crime.raw.value,Frequent.mental.distress.raw.value,lon,lat,POP_LONGITUDE,POP_LATITUDE,PopulationEstimate2018,PopulationDensityperSqMile2010,HeartDiseaseMortality,StrokeMortality,RespMortalityRate2014,Smokers_Percentage,DiabetesPercentage,SVIPercentile,CFR.x,death_100k.x,cases_100k.x,cases.y,deaths.y,CFR.y,death_100k.y,cases_100k.y
23,Hamilton,334,2,0.693147181,5.811140993,0.598802395,13.97624039,2334.032145,12047,Florida,514,6,0.232581315,0.229892646,0.336,0.321,0.193371601,847.1,0.1474901,0.851851852,0.725,0.337122262,0.056416882,0.379,5.453489222,8,0.1434644,1385.5,0.216,0.108139335,0.175953516,34517,14361,0.192256807,0.165865887,0.331453241,0.009609359,0.007659634,0.000139266,0.091288908,0.548708307,NA,NA,NA,397.3570082,0.139559656,-82.9353807,30.48728224,-82.997218,30.501534,14310,28.8,207.9,43.8,77.5,22.12851741,13.8,0.9908,1.167315175,41.92872117,3591.893781,543,7,1.289134438,48.91684137,3794.549266
24,Hardee,430,3,1.098612289,6.063785209,0.697674419,11.01119471,1578.271242,12049,Florida,926,8,0.288541296,0.187894991,0.347,0.342,0.148886882,436.9,0.218218265,0.856148492,0.6,0.239056282,0.066673767,0.323,4.696454858,6.7,0.222295952,276.8,0.126,0.220564739,0.281851129,37612,27360,0.263998538,0.155263158,0.068567252,0.011476608,0.011403509,0.000986842,0.433662281,0.471527778,NA,NA,NA,260.2115114,0.145316808,-81.81120596,27.49021668,-81.815432,27.548312,27245,43.5,157.4,33.1,62.7,19.16888247,15.1,0.9831,0.863930886,29.36318591,3398.788769,996,10,1.004016064,36.70398238,3655.716645
25,Hendry,953,25,3.218875825,6.859614904,2.623294858,60.15978439,2293.290981,12051,Florida,1096,17,0.242402244,0.152581581,0.347,0.296,0.162518975,605.1,0.260002993,0.820143885,0.77,0.303500791,0.090568476,0.352,4.789870756,6.9,0.21201255,372.8,0.133,0.150037281,0.330652915,39911,39290,0.271061339,0.132705523,0.114252991,0.02186307,0.010282515,0.001934334,0.52043777,0.334232629,NA,NA,NA,681.8998536,0.136248034,-81.17260251,26.5383539,-81.202571,26.705392,41556,34,164.2,34.7,59.17,19.79327403,10.5,0.9939,1.551094891,40.90865338,2637.404948,1669,11,0.659077292,26.47030513,4016.267206
26,Hernando,373,5,1.609437912,5.92157842,1.340482574,2.619652634,195.4260865,12053,Florida,2767,122,0.1877396,0.170873051,0.31,0.272,0.171223285,257.6,0.156026868,0.853224611,0.78,0.552177675,0.061097442,0.228,3.956312142,7.1,0.178171974,210.3,0.149,0.143119638,0.186814112,46225,182835,0.186009243,0.278414964,0.050083409,0.004583368,0.01340006,0.000738371,0.123739984,0.794082096,NA,NA,18.05897652,286.006051,0.13328816,-82.43249983,28.55569756,-82.496961,28.50485,190865,365.6,152.6,37.7,64.16,19.21522308,11.8,0.549,4.409107336,63.91952427,1449.715768,5597,179,3.198141862,93.7835643,2932.439159
27,Highlands,350,11,2.397895273,5.857933154,3.142857143,10.43405676,331.9927151,12055,Florida,1812,78,0.212665994,0.168765625,0.311,0.274,0.152742553,274.8,0.182759582,0.8472103,0.64,0.424,0.06587009,0.323,3.881756757,6.5,0.163741224,260.2,0.155,0.141906784,0.218772336,36864,100917,0.174242199,0.344649564,0.095672682,0.006639119,0.015141156,0.000941368,0.191028271,0.681223183,NA,NA,17.74688258,329.4496079,0.14059862,-81.336228,27.34477902,-81.442555,27.460415,105424,97.2,158.6,33.9,61.6,18.73496139,10.6,0.8729,4.304635762,73.98694794,1718.773714,3609,137,3.796065392,129.9514342,3423.319168
28,Hillsborough,10752,138,4.927253685,9.282847063,1.283482143,9.604088836,748.2837911,12057,Florida,30783,506,0.185017878,0.16553152,0.273,0.226,0.196326826,576.5,0.147433883,0.834820086,0.76,0.655513542,0.04486366,0.2,4.855733776,7,0.201143527,579.1,0.146,0.074627276,0.179020508,54509,1376238,0.230073577,0.136940704,0.158543072,0.00518079,0.041507356,0.001352237,0.276115032,0.502527906,NA,NA,14.00440322,339.0532869,0.124161444,-82.30823576,27.92836425,-82.401275,27.976529,1436888,1204.9,160.3,34.3,52.95,17.45554437,9.2,0.6701,1.643764415,35.2149924,2142.338164,48586,519,1.068208949,36.11972541,3381.335219
29,Holmes,NA,NA,NA,NA,NA,NA,NA,12059,Florida,575,8,0.22503794,0.213540988,0.314,0.347,0.156834942,361.3,0.166846613,0.800475059,0.81,0.395989975,0.053997923,0.345,5.343675071,8.8,0.13387574,132.4,0.192,0.088925198,0.198584349,41110,19487,0.20249397,0.195617591,0.064915072,0.009493509,0.006568482,0.001693437,0.027608149,0.870221173,NA,NA,NA,295.843153,0.143504216,-85.82645708,30.8856803,-85.758558,30.847684,19477,41.6,253.3,43.6,101.51,20.85774723,12.3,0.9347,1.391304348,41.07408739,2952.200031,1198,24,2.003338898,123.2222622,6150.844586
30,Indian River,697,16,2.772588722,6.546785411,2.295552367,10.16434475,442.7842681,12061,Florida,2515,103,0.164474102,0.157081485,0.249,0.254,0.193751983,306,0.193593659,0.871774824,0.81,0.551017332,0.061512017,0.215,4.540154893,6.1,0.17291594,276.8,0.152,0.13596073,0.227278081,49813,151563,0.16839862,0.316653801,0.089256613,0.004605346,0.015386341,0.00047505,0.120286614,0.75981605,NA,NA,18.00840542,295.9446445,0.131267211,-80.61554726,27.68305593,-80.440581,27.671827,157413,274.5,140,34,41.12,15.48721559,9.3,0.3962,4.095427435,65.43296932,1597.70794,5321,69,1.296748731,43.83373673,3380.279901
31,Jackson,363,2,0.693147181,5.894402834,0.550964187,4.140358141,751.4750026,12063,Florida,2468,78,0.261043084,0.244486252,0.346,0.34,0.16054776,536.9,0.136597697,0.847938144,0.7,0.445394395,0.052761938,0.309,4.658356903,9.1,0.134085213,1089.9,0.204,0.024806462,0.164917864,37358,48229,0.187501296,0.187729374,0.262995293,0.008169359,0.006655747,0.001866097,0.048041635,0.658089531,NA,NA,8.926793427,408.4137464,0.141119042,-85.22699975,30.79919469,-85.216119,30.80024,48305,54.2,195.7,45.1,66.29,23.05529709,13.8,0.9583,3.160453809,161.4739675,5109.201946,2422,41,1.692815855,84.87734189,5013.973709
32,Jefferson,49,4,1.386294361,3.891820298,8.163265306,27.99552072,342.9451288,12065,Florida,509,5,0.174175208,0.160753154,0.324,0.273,0.15206827,491.1,0.140673705,0.802547771,NA,0.384552178,0.053262072,0.285,4.811562926,8.6,0.148044693,1178.7,0.195,0.071940318,0.16014377,43453,13906,0.177836905,0.216740975,0.342154466,0.004674241,0.006256292,0.000359557,0.041564792,0.593700561,NA,NA,NA,764.1011392,0.128172437,-83.88813554,30.43942925,-83.886291,30.504031,14288,24.7,171.4,40.6,55.63,19.57505312,10.6,0.5748,0.982318271,34.9944009,3562.430011,608,9,1.480263158,62.98992161,4255.319149
33,Lafayette,NA,NA,NA,NA,NA,NA,NA,12067,Florida,1201,12,0.227986724,0.221321393,0.352,0.327,0.16915119,215.1,0.21973408,0.848837209,0.875,0.362724014,0.040769733,0.284,4.547007021,7.5,0.155268022,148.3,0.16,0.03158788,0.256851021,40653,8617,0.204131368,0.146570732,0.144713938,0.008123477,0.002669142,0.000812348,0.124869444,0.709875827,NA,NA,NA,290.7843722,0.137180937,-83.18194356,29.98493348,-83.179508,30.065418,8732,16.3,166.7,45.8,79.8,22.30195641,14.2,0.9806,0.999167361,137.4255612,13754.00825,249,11,4.417670683,125.9734311,2851.580394
34,Lake,1302,22,3.091042453,7.171656823,1.689708141,6.171194547,365.2225136,12069,Florida,6132,171,0.15299965,0.168966378,0.281,0.257,0.174302045,334.5,0.144018163,0.86966062,0.76,0.563534759,0.048669902,0.193,4.117766404,7.4,0.174748205,295.5,0.141,0.107923692,0.174317291,50125,335396,0.196099536,0.264427721,0.098966595,0.006350702,0.022749228,0.001604074,0.147473434,0.711696025,NA,NA,13.71600299,317.3098489,0.123711997,-81.69965559,28.75018418,-81.752026,28.735689,356495,316.6,153.6,32,46.09,16.84582545,9.7,0.6029,2.788649706,47.96701216,1720.080226,11395,156,1.369021501,43.75937951,3196.398266
35,Lee,5587,158,5.062595033,8.628197749,2.827993556,20.93796796,740.3824492,12071,Florida,14647,309,0.169811215,0.140108945,0.245,0.233,0.187843026,352.8,0.199427003,0.873042045,0.75,0.536431132,0.045894823,0.22,4.312196629,6.9,0.19164025,334.3,0.136,0.096593306,0.236883544,52989,722336,0.181837815,0.274207571,0.080978935,0.004942298,0.01675536,0.001147665,0.204660989,0.6834008,NA,NA,15.97086458,340.5033815,0.121347357,-81.80314198,26.58010818,-81.858144,26.574992,754610,788.7,131.8,22.1,40.13,14.34388772,8.1,0.5525,2.109647027,40.94830442,1941.002637,26836,249,0.927858101,32.99717735,3556.274102
36,Leon,1113,8,2.079441542,7.014814351,0.718778077,2.735024034,380.5102187,12073,Florida,9496,69,0.147991078,0.143100494,0.273,0.18,0.219301377,1047.6,0.114457076,0.811603244,0.877778527,0.783548442,0.045673494,0.189,5.447155344,9.1,0.226529321,482.7,0.221,0.083841245,0.131187173,51041,287822,0.1865528,0.124903586,0.309764368,0.003495216,0.035827699,0.000632335,0.062410101,0.5695812,NA,NA,6.992338728,683.0629859,0.12755771,-84.27342715,30.46085222,-84.270371,30.466103,292502,413.1,136.2,35.6,47.91,17.32757863,8.8,0.4943,0.726621735,23.58958229,3246.473528,12523,120,0.958236844,41.02536051,4281.338247
37,Levy,NA,NA,NA,NA,NA,NA,NA,12075,Florida,863,8,0.207890782,0.221638661,0.33,0.306,0.156965196,419.1,0.174123257,0.871012483,0.82,0.419820042,0.051846506,0.323,4.281686531,7.4,0.154731458,243.5,0.171,0.036382734,0.205796201,33092,39961,0.198443482,0.23768174,0.089587348,0.007131954,0.006981807,0.000875854,0.08260554,0.800755737,NA,NA,15.91209822,275.1572327,0.144680337,-82.7325523,29.32414747,-82.666319,29.379995,40770,36.5,183.4,41.3,75.89,23.61738764,11.4,0.7793,0.926998841,19.62227128,2116.752514,1242,12,0.966183575,29.43340692,3046.357616
