"","county.x","cases","deaths","CFR","death_100k","cases_100k","fips","state.x","cases.x","deaths.x","Poor.or.fair.health.raw.value","Adult.smoking.raw.value","Adult.obesity.raw.value","Physical.inactivity.raw.value","Excessive.drinking.raw.value","Sexually.transmitted.infections.raw.value","Uninsured.raw.value","Diabetes.monitoring.raw.value","High.school.graduation.raw.value","Some.college.raw.value","Unemployment.raw.value","Children.in.poverty.raw.value","Income.inequality.raw.value","Air.pollution...particulate.matter.raw.value","Severe.housing.problems.raw.value","HIV.prevalence.raw.value","Food.insecurity.raw.value","Limited.access.to.healthy.foods.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","Population.raw.value","X..below.18.years.of.age.raw.value","X..65.and.older.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value","Poverty.raw.value","Communicable.disease.raw.value","Drug.overdose.deaths.raw.value","Violent.crime.raw.value","Frequent.mental.distress.raw.value","lon","lat","POP_LONGITUDE","POP_LATITUDE","PopulationEstimate2018","PopulationDensityperSqMile2010","HeartDiseaseMortality","StrokeMortality","RespMortalityRate2014","Smokers_Percentage","DiabetesPercentage","SVIPercentile","CFR.x","death_100k.x","cases_100k.x","cases.y","deaths.y","CFR.y","death_100k.y","cases_100k.y"
"21","Herkimer",108,1,0.925925925925926,1.61725939223392,174.664014361263,"36043","New York",229,9,0.141529368,0.201095031,0.311,0.318,0.198593259,236.9,0.064316303,0.889430894,0.809456119,0.629350894,0.054520285,0.237,4.379171574,7.9,0.13296972,115.5,0.124,0.065700996,0.076226659,49633,62613,0.210834811,0.195167138,0.01137144,0.003002571,0.005557951,0.00028748,0.021257566,0.947726511,NA,NA,10.02866086,213.1235115,0.123184808,-74.97219129,43.4141244,-74.995034,43.070536,61833,45.7,195.7,29.8,56.32,17.827296884,10.2,0.5322,3.93013100436681,14.5553345301053,370.352400821568,3083,36,1.16769380473565,58.2213381204211,4986.01070625718
"22","Jefferson",74,0,0,0,66.2162766766588,"36045","New York",98,1,0.174705054,0.191947606,0.308,0.318,0.231046882,497.9,0.065357525,0.903946389,0.851032505,0.644228194,0.062297012,0.215,4.036606985,8.3,0.151160196,270.9,0.14,0.063536784,0.080437562,46206,114006,0.241162746,0.133071944,0.060137186,0.006447029,0.016437731,0.003306844,0.071627809,0.821404137,NA,NA,16.53627717,162.659526,0.118741871,-75.91629678,44.03170465,-75.89664,44.019125,111755,91.6,188.2,34.8,62.39,16.019146826,11.8,0.6484,1.02040816326531,0.894814549684578,87.6918258690886,2770,19,0.685920577617328,17.001476444007,2478.63630262628
"23","Lewis",20,0,0,0,75.62294400121,"36049","New York",30,5,0.132194753,0.169232513,0.327,0.245,0.203900403,165.3,0.070914974,0.918994413,0.880210238,0.564371013,0.066950234,0.243,3.976968984,7.4,0.138461539,31,0.116,0.063010447,0.083250497,48314,26865,0.231341895,0.175879397,0.007705193,0.003573423,0.004243439,0.001153918,0.016638749,0.958719524,NA,NA,NA,102.7698933,0.114298859,-75.45191134,43.78292917,-75.449321,43.789217,26447,21.3,188.4,32,58.66,15.685666859,9.7,0.2911,16.6666666666667,18.9057360003025,113.434416001815,1338,17,1.27055306427504,64.2795024010285,5059.17495368095
"24","Livingston",119,4,3.36134453781513,6.32641118509498,188.210732756576,"36051","New York",89,2,0.143913732,0.170598023,0.303,0.239,0.204028872,175,0.057172152,0.876790831,0.886043166,0.587806832,0.049042219,0.164,4.469938928,9.3,0.148927393,247.9,0.116,0.052429372,0.067933094,54256,64257,0.180042641,0.167639323,0.026051636,0.003657189,0.013508256,0.000466875,0.035280203,0.908259022,NA,NA,8.266170696,90.87408548,0.120281276,-77.78247429,42.72247211,-77.7642,42.766358,63227,103.5,144.5,32,60.26,15.326099779,10.4,0.3424,2.24719101123596,3.16320559254749,140.762648868363,2353,30,1.27496812579686,47.4480838882123,3721.51137963212
"25","Madison",316,4,1.26582278481013,5.65011653365351,446.359206158627,"36053","New York",181,5,0.128021329,0.181590225,0.281,0.296,0.20848863,228,0.055492093,0.882195449,0.832408467,0.64041555,0.052425999,0.159,4.181064188,8.5,0.110017042,77.4,0.111,0.013112847,0.066009758,57703,71329,0.195320277,0.168725203,0.016655217,0.007304182,0.008327609,0.00032245,0.02149196,0.933897854,NA,NA,15.77382195,95.81178714,0.117022848,-75.67317735,42.91485583,-75.717386,42.984471,70795,112.2,157.8,32.6,66.92,15.15958424,8.3,0.1666,2.76243093922652,7.06264566706688,255.667773147821,2487,66,2.65379975874548,93.2269228052829,3512.95995479907
"26","Monroe",2943,218,7.40740740740741,29.3612974999798,396.377516249727,"36055","New York",3121,40,0.146424503,0.163862765,0.283,0.22,0.192408801,631.5,0.055449672,0.828942981,0.825,0.727006776,0.046740251,0.21,4.869463976,9.7,0.170851245,357.3,0.132,0.057833766,0.066655807,54684,747727,0.211309743,0.163843221,0.146491968,0.003935929,0.037383965,0.000694104,0.085317235,0.708377523,NA,NA,15.3525479,344.6695259,0.121549136,-77.70188831,43.14305942,-77.619988,43.161503,742474,1132.6,149.3,32.3,37.67,15.151442269,8.4,0.5204,1.28164049983979,5.38739403669354,420.351419713014,36653,477,1.3013941560036,64.2446738875705,4936.60384067321
"27","Montgomery",91,5,5.49450549450549,10.1102011930037,184.005661712668,"36057","New York",144,4,0.161775745,0.204441061,0.291,0.303,0.195398762,315.4,0.074575851,0.879069767,0.774499089,0.551954161,0.056728115,0.319,4.738865957,8,0.169676927,177.8,0.126,0.078890155,0.091981535,42193,49276,0.227818817,0.18335498,0.019096518,0.005601104,0.008300187,0.001542333,0.133310334,0.82285494,NA,NA,16.14020458,108.6978267,0.129904017,-74.45333983,42.9015779,-74.343088,42.933549,49455,124.6,219.8,28.3,55.88,16.537127488,9.4,0.8306,2.77777777777778,8.08816095440299,291.173794358508,1834,62,3.38058887677208,125.366494793246,3708.42179759377
"28","Nassau",40396,2615,6.47341320922864,192.513967385263,2973.91748623139,"36059","New York",6378,418,0.122529581,0.107440784,0.23,0.251,0.179208404,261.4,0.065321696,0.87127652,0.91197954,0.743698285,0.038941401,0.081,4.493393015,9.6,0.226822204,255.8,0.06,0.004682879,0.080490845,105486,1361500,0.217517444,0.170381197,0.114639001,0.005094381,0.097137716,0.000934998,0.167747338,0.607913331,NA,NA,14.30854566,163.4085075,0.09979873,-73.58388267,40.74586173,-73.602242,40.716587,1358343,4704.8,188.2,23.3,29.03,11.225364644,7.2,0.243,6.55377861398558,30.7727871384474,469.542670739276,63055,316,0.50114978986599,23.2636381238023,4642.05285410239
"29","New York City",208085,21050,10.1160583415431,1292.44103122673,12776.1326357631,"36061","New York",40188,2733,0.145322369,0.132686715,0.156,0.186,0.26517786,845.9,0.078594351,0.810827629,0.695638869,0.837945253,0.045322908,0.236,8.928957384,11.1,0.249439665,1906.7,0.139,0,0.090428923,77214,1643734,0.146214047,0.14921149,0.124894904,0.01167768,0.127667859,0.001840931,0.259910058,0.46942571,NA,NA,12.24484823,621.0613517,0.11037551,-73.97427095,40.77021579,-73.966303,40.777958,1628701,69468.4,143.5,18.9,23.47,12.41823421,6.5,0.551,6.8005374738728,167.802438876135,2467.48789372635,268691,2080,0.774123435470485,127.709137527391,16497.2576304675
"30","Niagara",1037,51,4.91803278688525,24.23574249286,492.793430688153,"36063","New York",742,38,0.158463241,0.21548647,0.316,0.256,0.181356338,392,0.054728298,0.859955006,0.826335524,0.667800591,0.057724553,0.184,4.639791815,10.6,0.139320113,115.1,0.128,0.042378245,0.065530548,50328,211758,0.202211959,0.180470159,0.069173302,0.011088129,0.011059795,0.000396679,0.028230338,0.858649968,NA,NA,21.78905374,379.0364519,0.120016106,-78.73466893,43.19856158,-78.852109,43.134704,210433,414.4,223.5,32.3,58.82,16.802143713,10.8,0.3318,5.12129380053908,18.0580042103662,352.606292739257,9735,144,1.47919876733436,68.4303317445458,4626.17555231356
